Score: 27.11, Date: 2025-04-03 00:53:32
Score: 22.53, Date: 2025-04-03 00:53:58
Score: 47.18, Date: 2025-04-03 00:56:38
Score: 23.35, Date: 2025-04-03 00:57:28
Score: 46.58, Date: 2025-04-03 01:02:03
Score: 23.21, Date: 2025-04-03 01:06:52
Score: 20.03, Date: 2025-04-03 01:10:17
Score: 20.72, Date: 2025-04-03 01:11:56
Score: 39.4, Date: 2025-04-03 01:13:58
Score: 39.53, Date: 2025-04-03 01:15:25
Score: 52.13, Date: 2025-04-03 01:16:55
Score: 19.84, Date: 2025-04-03 01:17:34
Score: 46.83, Date: 2025-04-03 01:19:42
Score: 54.08, Date: 2025-04-03 01:21:04
Score: 83.19, Date: 2025-04-03 01:22:57
Score: 25.35, Date: 2025-04-03 01:24:19
Score: 21.95, Date: 2025-04-03 01:31:27
Score: 20.15, Date: 2025-04-03 01:32:51
Score: 33.44, Date: 2025-04-03 01:36:04
Score: 23.01, Date: 2025-04-03 01:36:29
Score: 34.81, Date: 2025-04-03 01:48:12
